Date,Open,High,Low,Close
Dec-19,"3,143.85","3,247.93","3,070.33","3,230.78"
Nov-19,"3,050.72","3,154.26","3,050.72","3,140.98"
Oct-19,"2,983.69","3,050.10","2,855.94","3,037.56"
Sep-19,"2,909.01","3,021.99","2,891.85","2,976.74"
Aug-19,"2,980.32","3,013.59","2,822.12","2,926.46"
Jul-19,"2,971.41","3,027.98","2,952.22","2,980.38"
Jun-19,"2,751.53","2,964.15","2,728.81","2,941.76"
May-19,"2,952.33","2,954.13","2,750.52","2,752.06"
Apr-19,"2,848.63","2,949.52","2,848.63","2,945.83"
Mar-19,"2,798.22","2,860.31","2,722.27","2,834.40"
Feb-19,"2,702.32","2,813.49","2,681.83","2,784.49"
Jan-19,"2,476.96","2,708.95","2,443.96","2,704.10"
Dec-20,"3,645.87","3,760.20","3,633.40","3,756.07"
Nov-20,"3,296.20","3,645.99","3,279.74","3,621.63"
Oct-20,"3,385.87","3,549.85","3,233.94","3,269.96"
Sep-20,"3,507.44","3,588.11","3,209.45","3,363.00"
Aug-20,"3,288.26","3,514.77","3,284.53","3,500.31"
Jul-20,"3,105.92","3,279.99","3,101.17","3,271.12"
Jun-20,"3,038.78","3,233.13","2,965.66","3,100.29"
May-20,"2,869.09","3,068.67","2,766.64","3,044.31"
Apr-20,"2,498.08","2,954.86","2,447.49","2,912.43"
Mar-20,"2,974.28","3,136.72","2,191.86","2,584.59"
Feb-20,"3,235.66","3,393.52","2,855.84","2,954.22"
Jan-20,"3,244.67","3,337.77","3,214.64","3,225.52"
Dec-21,"4,602.82","4,808.93","4,495.12","4,766.18"
Nov-21,"4,610.62","4,743.83","4,560.00","4,567.00"
Oct-21,"4,317.16","4,608.08","4,278.94","4,605.38"
Sep-21,"4,528.80","4,545.85","4,305.91","4,307.54"
Aug-21,"4,406.86","4,537.36","4,367.73","4,522.68"
Jul-21,"4,300.73","4,429.97","4,233.13","4,395.26"
Jun-21,"4,216.52","4,302.43","4,164.40","4,297.50"
May-21,"4,191.98","4,238.04","4,056.88","4,204.11"
Apr-21,"3,992.78","4,218.78","3,992.78","4,181.17"
Mar-21,"3,842.51","3,994.41","3,723.34","3,972.89"
Feb-21,"3,731.17","3,950.43","3,725.62","3,811.15"
Jan-21,"3,778.05","3,778.05","3,694.12","3,714.24"
Dec-22,"4,087.14","4,100.96","3,764.49","3,849.28"
Nov-22,"3,901.79","4,080.11","3,698.15","4,080.11"
Oct-22,"3,609.78","3,905.42","3,491.58","3,871.98"
Sep-22,"3,936.73","4,119.28","3,584.13","3,585.62"
Aug-22,"4,112.38","4,325.28","3,954.53","3,955.00"
Jul-22,"3,781.08","4,140.15","3,721.56","4,130.29"
Jun-22,"4,149.78","4,177.51","3,636.87","3,785.38"
May-22,"4,130.61","4,307.66","3,810.32","4,132.15"
Apr-22,"4,540.32","4,593.45","4,124.28","4,131.93"
Mar-22,"4,363.14","4,637.30","4,157.87","4,530.41"
Feb-22,"4,519.57","4,595.31","4,114.65","4,373.94"
Jan-22,"4,778.14","4,818.62","4,222.62","4,515.55"
Nov-23,"4,201.27","4,587.64","4,197.74","4,567.80"
Oct-23,"4,284.52","4,393.57","4,103.78","4,193.80"
Sep-23,"4,530.85","4,541.25","4,238.63","4,288.05"
Aug-23,"4,578.83","4,584.62","4,335.31","4,507.66"
Jul-23,"4,449.45","4,607.07","4,385.05","4,588.96"
Jun-23,"4,183.03","4,458.48","4,171.64","4,450.38"
May-23,"4,166.79","4,231.10","4,048.28","4,179.83"
Apr-23,"4,102.20","4,170.06","4,049.35","4,169.48"
Mar-23,"3,963.34","4,110.75","3,808.86","4,109.31"
Feb-23,"4,070.07","4,195.44","3,943.08","3,970.15"
Jan-23,"3,853.29","4,094.21","3,794.33","4,076.60"
Dec-24,"6,040.11","6,099.97","5,832.30","5,881.63"
Nov-24,"5,723.22","6,044.17","5,696.51","6,032.38"
Oct-24,"5,757.73","5,878.46","5,674.00","5,705.45"
Sep-24,"5,623.89","5,767.37","5,402.62","5,762.48"
Aug-24,"5,537.84","5,651.62","5,119.26","5,648.40"
Jul-24,"5,471.08","5,669.67","5,390.95","5,522.30"
Jun-24,"5,297.15","5,523.64","5,234.32","5,460.48"
May-24,"5,029.03","5,341.88","5,011.05","5,277.51"
Apr-24,"5,257.97","5,263.95","4,953.56","5,035.69"
Mar-24,"5,098.51","5,264.85","5,056.82","5,254.35"
Feb-24,"4,861.11","5,111.06","4,853.52","5,096.27"
Jan-24,"4,745.20","4,931.09","4,682.11","4,845.65"